1.Reference_Azerbaijani_Text	2.Whisper_ASR_Prediction	3.Reference_English_Target	4.MT_English_Prediction
Bu tapıntı həm də quş lələklərinin təkamülü haqqında təsəvvür yaradır.	 Bu tapındı həm də quşlə eləklərinin təkamil haqqında təsəbir yaratır.	bu tapıntı həm də quş lələklərinin təkamülü haqqında təsəvvür yaradır	This temple also provides an explanation for the evolution of the bird's wrists.
Sundarban dünyanın ən böyük sahilyanı manqrov bölgəsidir və sahildən Banqladeş və Hindistanın içərilərinə doğru 80 km (50 mil) uzanır.	 Sundarban dünyanın ən böyük sahiliyanı Mangurov bölgəsidir. Və sahildən Bangaladır və Hindistanın inşərlərinə doğru 60 km, 50 mil uzanır.	sundarban dünyanın ən böyük sahilyanı manqrov bölgəsidir və sahildən banqladeş və hindistanın içərilərinə doğru 80 km 50 mil uzanır	Sundarban is the largest coastal region in the world, Mangurov, and it stretches 60 km, 50 miles from the coast to the Indian subcontinent.
"O, bütün bu şayiələri ""siyasi boşboğazlıq və axmaqlıq"" adlandırdı."	 O, bütün bu şayələri siyasi boş boğazlıq və ahmalqlıq adlandırırdı.	o bütün bu şayiələri siyasi boşboğazlıq və axmaqlıq adlandırdı	He called all this political nonsense and stupidity.
Mərasimin İtaliyanın bir çox digər şəhərlərində və dünyanın qalan hissəsində, xüsusilə də Polşada geniş insan kütlələri tərəfindən izlənməsi üçün həmin yerlərə də eyni şəkildə nəhəng ekranlar quraşdırıldı.	 Mərasimin İtalya nın bir çox digər şəhərlərində və dünyanın qalan isəsində, xüsusilə də Polisədə geniş insan köçülərə tərəfindən izlənməsi üzün, həmin yerlərə enişəkildə nəhək ekraqınlar quraşdırılırdı.	mərasimin i̇taliyanın bir çox digər şəhərlərində və dünyanın qalan hissəsində xüsusilə də polşada geniş insan kütlələri tərəfindən izlənməsi üçün həmin yerlərə də eyni şəkildə nəhəng ekranlar quraşdırıldı	The ceremony was watched by large numbers of immigrants in many other Italian cities and the rest of the world, especially in the Police, where they installed large screens on the stairs.
Filippinli fotoqraflar kimi uşaqlar və yaşlılar da daxil, 6 əsr sərbəst buraxıldı.	 Filipinin fotograflar kimi uşaqlar və yaşlılar da daxil, altı əsir sərbəs bırakıldı.	filippinli fotoqraflar kimi uşaqlar və yaşlılar da daxil 6 əsr sərbəst buraxıldı	Six prisoners, including children and elderly, were released as well as photographers from the Philippines.
Qonaqlarının ruh yüksəkliyini qorumaq və onların həmin yerdə qonaqlamasını təmin etmək üçün onlar adətən xüsusi yemək-içmək və əyləncə təklif edirlər.	 Qonqlara ruh yüqsəkləyini qorumak və onların həmin yeri də qonqlanmasını təmin etmək üçün onlar adətən xüsusi gəmək, içmək və ələncə təklif edirlər.	qonaqlarının ruh yüksəkliyini qorumaq və onların həmin yerdə qonaqlamasını təmin etmək üçün onlar adətən xüsusi yemək-içmək və əyləncə təklif edirlər	To keep the dogs in good spirits and to keep them in good spirits, they usually offer special walks, drinks, and dresses.
Dünən axşam Buenos Airesdən 50 km (31 mil) məsafədə yerləşən La Plata şəhərində hazırki senator və Argentinanın birinci xanımı Kristina Fernandez de Kirçner prezidentliyə namizədliyini elan etdi.	 Dünən akşam Buena Sairesdən 50 km 31-mil məsafədə yerləşən Laqlata şəhərində Hazır ki, Senatır, Vargincinin an birinci qanımı Kristina Fernandızda Kirşınır, prezidentliyə namizətliyini eyalan etdi.	dünən axşam buenos airesdən 50 km 31 mil məsafədə yerləşən la plata şəhərində hazırki senator və argentinanın birinci xanımı kristina fernandez de kirçner prezidentliyə namizədliyini elan etdi	Last night, in Laglata, about 50 miles from Buena Saires, the current senator, Kristina Fernandez, Varginji's first-time bloodthirsty, announced her candidacy for president.
Mövcud bütün resurslardan bir qurumun funksional departamentlərində effektiv bir şəkildə istifadə olunursa, yaradıcılıq və ustalıq ortaya çıxa bilər.	 Mövcud bütö resurslardan bir qurumun funksiyonal departmetlərində effektib bir şəkildə istifadə olunursa, yaratıcılıq və əbustalıq ortaya çıxabilər.	mövcud bütün resurslardan bir qurumun funksional departamentlərində effektiv bir şəkildə istifadə olunursa yaradıcılıq və ustalıq ortaya çıxa bilər	If the resources available are used effectively in the functional departments of an organization, creativity and resourcefulness emerge.
"Tələbələr bloqlardan uyğun ""istifadə edərək analitik və tənqidi bacarıqlarını möhkəmləndirə bilər; tez-tez internet materiallarına müraciət edib başqalarının yazıları əsasında bir mövqe ortaya qoya, həmçinin xüsusi mövzularda öz perspektivlərini müəyyən edə bilərlər"" (Oravec, 2002)."	 Tələbələr bloglarda uluqın istifadə edən bəq analitik və tənqidi bacarıqları müəqhəmləndirə bilər, testiz internet materiallarını müraycət edib, başqalarının yazılıları əsasında bir mögü ortaya koyu, həmçin qüsusi mövzularda öz presbəktiblərinin müəyyən edə biləmlər.	tələbələr bloqlardan uyğun istifadə edərək analitik və tənqidi bacarıqlarını möhkəmləndirə bilər; tez-tez internet materiallarına müraciət edib başqalarının yazıları əsasında bir mövqe ortaya qoya həmçinin xüsusi mövzularda öz perspektivlərini müəyyən edə bilərlər oravec 2002	Students can develop the analytical and critical skills that adults use in blogs, test-free internet content, create a blog based on the writings of others, and determine their own prescriptions on specific topics.
Afrikadan daha çox Ərəb ruhunun hiss olunduğu bu şəhər ölkənin digər şəhərləri ilə tamamilə ziddiyyət təşkil edir.	 Afrikadın daha çox ərəp ruhunun soyunduğu bu şəhər ölkənin digər şəhərləli ilə tamamilə ziddət dəşilədir.	afrikadan daha çox ərəb ruhunun hiss olunduğu bu şəhər ölkənin digər şəhərləri ilə tamamilə ziddiyyət təşkil edir	This city of Africa, where the Arab spirit is more prevalent, is in stark contrast to other cities in the country.
Bura, Britaniya kolonistlərinin mənimsədikləri yerdir, buna görə də, əgər bölgənin müstəmləkə tarixi ilə əlaqəli bir dəlil axtarırsınızsa, buradan başlaya bilərsiniz.	 Bura, Britani qalanistlərinin mənimsədikləri yeridir. Buna görə də, əcər böygənin müstəmnəki tarixilələ qəlibirli dəril axtarırsınızsa, buradan başlayabilirsiniz.	bura britaniya kolonistlərinin mənimsədikləri yerdir buna görə də əgər bölgənin müstəmləkə tarixi ilə əlaqəli bir dəlil axtarırsınızsa buradan başlaya bilərsiniz	This is the place that the British Gauls occupied, so if you're looking for a fascinating insight into the colonial history of the earwig, you can start here.
"ABŞ-ın Geoloji Xidmətlər Bürosunun Astrologiya Heyətindən və Arizona ştatının Flagstaff şəhərində yerləşən Şimali Arizona Universitetindən olan Qlen Kuşinqin dediyinə görə, ""onların termal hərəkətləri, Yer planetindəki kifayət qədər davamlı temperaturu tez-tez dəstəkləyən böyük mağaralarda olanlar qədər stabil deyil, ancaq bu həmin dərin dəliklərin torpaqda olması ilə əlaqəlidir""."	 Abusun geologi hütmətlər bürosun Astrologi həyətindən və Arizona-şutatının flux-staff şəhərində yerləşən Şimali-Arizon universitetindən olan Glenn-Kush əndədiynə görə, onların termal hərəkətləri, yer planetindəki kifaya qədər davamlı temperature-u, təsizdə hissəkləyən böyük mağaralarda olanlar qədər stabildir. Ancaq bu həmin dərin dəriklərin torpaqlı olması ilə laqəlidir.	abş-ın geoloji xidmətlər bürosunun astrologiya heyətindən və arizona ştatının flagstaff şəhərində yerləşən şimali arizona universitetindən olan qlen kuşinqin dediyinə görə onların termal hərəkətləri yer planetindəki kifayət qədər davamlı temperaturu tez-tez dəstəkləyən böyük mağaralarda olanlar qədər stabil deyil ancaq bu həmin dərin dəliklərin torpaqda olması ilə əlaqəlidir	According to Glenn-Kush, a geologist at the Bureau of Astrology's Astrology yard and a flux-staff at Northern Arizona University in Shuttgart, Arizona, their thermal movements, the temperature constant to the surface of the planet Earth, are as stable as those in the vast caves that are almost completely felt, but this is due to the soiliness of those deep holes.
Əyləncəli xəbərlər veb-saytı TMZ, fotoqrafın öz avtomobilini Sepulveda Bulvarının digər tərəfində saxladığını, yolu keçib davam etməzdən əvvəl polis məntəqəsinin şəkillərini çəkməyə çalışdığını, nəticədə Kaliforniya Dövlət Yol Patrul Xidmətinin polis zabitinin ona geri qayıtmalı olduğunu söyləmək üçün yol hərəkətini iki dəfə dayandırdığını başa düşür.	 Eləncəli xəbələr website TMZ fotografının öz automobilini Sapul VW varının digər tərəkində saxladığı yolu keçib devam etməzdən əvvəl polis məntəqəsinin şəkirlərinini çəkməyə çalışdıqını, nəticədə Kaliforniya növlək yol patrul xidmətinin, polis zabitinin, onu geri qəytərmalı olduğunu səyələmək üçün yol hərəkətini iki dəvə dəyandırdıqını başa düşür.	əyləncəli xəbərlər veb-saytı tmz fotoqrafın öz avtomobilini sepulveda bulvarının digər tərəfində saxladığını yolu keçib davam etməzdən əvvəl polis məntəqəsinin şəkillərini çəkməyə çalışdığını nəticədə kaliforniya dövlət yol patrul xidmətinin polis zabitinin ona geri qayıtmalı olduğunu söyləmək üçün yol hərəkətini iki dəfə dayandırdığını başa düşür	The rumor is that the TMZ website discovered that the photographer had tried to take pictures of the police station before the VW truck driver had to drive his car across the street in another style, and that the California wildlife patrol, a police officer, had to steal two camels to try to get him back.
Bu halda, bizə yalnız yeni bir ixtiradan sonra klaviaturanın nəyə yarayacağını təxmin etmək qalır.	 Bu halda, bizə yalnız yeni bir ixtiradan sonra Qaviatura'nın nəyə yaranın çağına təqmin etmək qalır.	bu halda bizə yalnız yeni bir ixtiradan sonra klaviaturanın nəyə yarayacağını təxmin etmək qalır	In this case, we only have to estimate the age of what Caviatura was after a new invention.
Qərbi Avropa həyat tərzini orta əsrlərin sonlarında təkmilləşdirməyə başladı. Dövrün ən böyük yeniliklərindən biri də Səlib yürüşləri nəticəsində insanların paltarlarını bağlamaq üçün düymələrdən istifadə etməyə başlaması idi.	 Qərbə Avrupa həyət tərzini ortasillərin sonlarında təkmilləşdirməyə başladı. Dövrün ən böyük yeniliklərinə beli də səlip yürüyüşlər nətçəsində insanların paltarlarını bağlamak üçün tüyumələrdən istuadə etməyə başlaması idi.	qərbi avropa həyat tərzini orta əsrlərin sonlarında təkmilləşdirməyə başladı dövrün ən böyük yeniliklərindən biri də səlib yürüşləri nəticəsində insanların paltarlarını bağlamaq üçün düymələrdən istifadə etməyə başlaması idi	The West began to improve its European courtyard style in the late Middle Ages, and the biggest innovation of the era was the introduction of knitting in knitting to tie people's clothes.
Onun sonradan köçürüldüyü Addenbruk xəstəxanası Kembricdə idi.	 Onun sonradan çəsirildi Adın Bruq xəstəxanası Cambridge deyildi.	onun sonradan köçürüldüyü addenbruk xəstəxanası kembricdə idi	His name was later changed to Brook Hospital not Cambridge.
Bölgələrin bəzilərində suyu 1 dəqiqə qaynatmaq yetərli olsa da, digərlərində bu bir neçə dəqiqə çəkə bilər.	 Bölgələrin bəzlərində suyu bir dəyəqə qaynatmağı yetəllə olsala, digərlərinə bu bir neçələyə qəcəkə bilər.	bölgələrin bəzilərində suyu 1 dəqiqə qaynatmaq yetərli olsa da digərlərində bu bir neçə dəqiqə çəkə bilər	While some regions can boil enough water in one tank, others can boil it in several.
"15 avqust, 1940-cı ildə Müttəfiqlər cənubi Fransanı işğal etdilər, işğal planının adı ""Draqun Əməliyyatı"" idi."	 15 avqust 1940-ci ildə müddəfiqlər canıbi Fransəni işxalətdilər. İşxal planın adı Dragu Nəməliyatı idi.	15 avqust 1940-cı ildə müttəfiqlər cənubi fransanı işğal etdilər işğal planının adı draqun əməliyyatı idi	On August 15, 1940, the French occupied the French territory of the Dracula Peninsula.
Xüsusilə də yay aylarında sadə populyar bir axşam yeməyi zeytun yağlı, pomidorlu və pendir və ton balığı kimi istənilən ərzaqla doldurulmuş Pa amb Oli adlanan çörəkdir.	 Hüsusi irədə yay aylarında sada popüler bir akşam yeməyə, zeytun yağlı, pamidovlı və pendir və tombalıbı kimi, islənləm əvzakla doldurulmuş pa ampoli adlanan çörekdir.	xüsusilə də yay aylarında sadə populyar bir axşam yeməyi zeytun yağlı pomidorlu və pendir və ton balığı kimi istənilən ərzaqla doldurulmuş pa amb oli adlanan çörəkdir	A special dish is a simple popular evening meal in summer, called a pa ampoli, filled with olive oil, palm oil, and cheese and peppermint, such as a slice of whipped cream.
Honkonqun ən yaxşı mənzərəsini görmək üçün adadan çıxın və qarşıdakı Kowloon sahilinə gedin.	 Hong Kongun ən yaxşı mənzərəsini görmək üçün adadan çıxın və qarşıdaki Cobblon sahilinə gəlin.	honkonqun ən yaxşı mənzərəsini görmək üçün adadan çıxın və qarşıdakı kowloon sahilinə gedin	To see the best views of Hong Kong, head off the island and to the nearby Cobblon beach.
Romantizm, Göte, Fixte və Şleqel kimi yazıçılardan alınmış, böyük mədəni bir determinizm ünsürünə sahibdir.	 Romantizm, kötü, fikti və şiləyə gəlkim yazısların alınmış böyük mədəni bir dətəriminizmən ünsürünə səhəbdir.	romantizm göte fixte və şleqel kimi yazıçılardan alınmış böyük mədəni bir determinizm ünsürünə sahibdir	A great cultural commentary on romance, evil, fiction and the occult is a mixture of elements.
"Tələbələr bloqlardan uyğun ""istifadə edərək analitik və tənqidi bacarıqlarını möhkəmləndirə bilər; tez-tez internet materiallarına müraciət edib başqalarının yazıları əsasında bir mövqe ortaya qoya, həmçinin xüsusi mövzularda öz perspektivlərini müəyyən edə bilərlər"" (Oravec, 2002)."	 Tələbələr bloglardan uygul istifadə edərək, analitik və təngidi bacarıqları mühqəmləndirə bilər, testis internet materiallarına mürajet edib, başqalarının yazılıqları əsasında bir mövqi ortaya koyar, hərcəni xüsus mövzularda öz presbəklirlərini müəyyən edə bilərlər.	tələbələr bloqlardan uyğun istifadə edərək analitik və tənqidi bacarıqlarını möhkəmləndirə bilər; tez-tez internet materiallarına müraciət edib başqalarının yazıları əsasında bir mövqe ortaya qoya həmçinin xüsusi mövzularda öz perspektivlərini müəyyən edə bilərlər oravec 2002	Students can use blogs to improve their analytical and critical skills, navigate the testes to Internet materials, develop a position based on the writings of others, and identify their own prespectives on specific topics.
Şiddətli küləklər, dolu, həddən artıq yağış və meşə yanğınları, fırtına, tufan, su burulğanları və qasırğalar kimi ağır hava şəraitinin təsirlərinin təzahür formasıdır.	 Şiddətli küləklər, dolu, ətdən hataq yağış və müşəyağınları, fırtına, tufan, su burulqanları və qasırqalar kimi ağır hava şərafiyin təsirlərin təzahürı formasıdır.	şiddətli küləklər dolu həddən artıq yağış və meşə yanğınları fırtına tufan su burulğanları və qasırğalar kimi ağır hava şəraitinin təsirlərinin təzahür formasıdır	Heavy winds are a form of manifestation of the effects of severe weather, such as heavy rain and avalanches, storms, floods, tidal storms and thunderstorms.
UNESCO Dünya Maddi İrs Siyahısına daxil edilən və Hindistan ərazisində olan Sundarban meşəliyi Sundarban Milli Parkı olaraq adlandırıldı.	 Yinesko Dünya Mahdi İrsiyasına daxil edilər və Hindistan ərazisində olan Sundarban məşəliyi Sundarban Milli Parkı olaraq adlandırdı.	unesco dünya maddi i̇rs siyahısına daxil edilən və hindistan ərazisində olan sundarban meşəliyi sundarban milli parkı olaraq adlandırıldı	Yinesko is included in the World Mahdi Heritage List and has named the Sundarban Lighthouse in the Indian subcontinent as Sundarban National Park.
Kasablanka bütün Mərakeşdə alış-veriş etmək üçün ən cazib yerlərdən biridir.	 Kasabalanqa bütün mərakəşdə alışveriş etmək üçün ən zazib yerlərdən biridir.	kasablanka bütün mərakeşdə alış-veriş etmək üçün ən cazib yerlərdən biridir	The town is one of the most desirable places to shop in all of Morocco.
"""Jurnalistlər şübhəlilərin fotoşəkillərini və onlar haqqındakı başqa məlumatları yayarkən təhlükəli sularda üzür"" deyə Dandi Universitetinin professoru Pamela Ferquson bildirib."	 Jurnalistlər şüphəllərin fotoşəkilərini və onlar haqqındakı başqa məlumuqları yayarken tərhükəli sularda üzür, deyə Dandi Universitetin profesoru Pamela Ferguson bildirib.	jurnalistlər şübhəlilərin fotoşəkillərini və onlar haqqındakı başqa məlumatları yayarkən təhlükəli sularda üzür deyə dandi universitetinin professoru pamela ferquson bildirib	While journalists are spreading photos of suspects and other information about them, they swim in the frozen waters, said Pamela Ferguson, a professor at Dundee University.
"Məhəmməd dünyəvi məsələlərə aid olmayan mövzulara da dərin maraq göstərirdi. O, düşünmək üçün Nur dağındakı ""Hira"" adlanan mağaraya çox sıx gələrdi."	 Məhəmət dünya və məsələri aydolmayan mözlardadə daha dərin maraq göstərirdi. O düşünmək üçün nurdağındakı hir adlanan maqaraya çox sık kələrdi.	məhəmməd dünyəvi məsələlərə aid olmayan mövzulara da dərin maraq göstərirdi o düşünmək üçün nur dağındakı hira adlanan mağaraya çox sıx gələrdi	Muhammad was more interested in the world and the mysteries of myths, and he would often look at the caves in his light, called the gores, to reflect.
Sundarban 1966-cı ildən bəri vəhşi təbiət qoruğudur. Ərazidə indi 400 Benqal pələnginin və təxminən 30 000 xallı maralın olduğu hesab edilir.	 Sundırban 1966-anışı ildən bəri vəşri təbiyyət qorubmudur. Ərazilə indi 400 bengal pələngirin və təxminən 30.000 xalılın maralın olduğu əzab edilir.	sundarban 1966-cı ildən bəri vəhşi təbiət qoruğudur ərazidə indi 400 benqal pələnginin və təxminən 30 000 xallı maralın olduğu hesab edilir	Since 1966, Sundarbans has been a wildlife sanctuary, and the area is now home to 400 Bengal tigers and about 30,000 bald eagles.
Honkonqun siluetini yaradan binaların düzülüşünü, Viktoria limanının suları ilə ortaya çıxan cazibədar parıltılı bir histoqram ilə müqayisə etmək olar.	 Hong Kong'un silüvətini yaradan binaların üzülüşünü, Victoria Limanı'nın suları ilə ortaya çıxınca azbələr paralıdılı bir istogrami ilə müqahisə etmək olar.	honkonqun siluetini yaradan binaların düzülüşünü viktoria limanının suları ilə ortaya çıxan cazibədar parıltılı bir histoqram ilə müqayisə etmək olar	The building collapse that caused the Hong Kong explosion, when it emerged from the waters of Victoria Harbour, can be argued with a paralyzed histogram of the fringes.
Hər hansı bir məktəb ekskursiyasını virtual olaraq paylaşmaq, bu ekskursiyanı əks etdirmək və gələcək dərslərdə təcrübələrimizi bölüşmək üçün əla yoldur.	 Hər hansı bir məkləb ekskursiyasını virtuolara paylaşmaq, bu ekskursiyanı əksətdirəmə və gələcət dərslərdə təcrübələrimizi bölüşmək üçün əla yoldur.	hər hansı bir məktəb ekskursiyasını virtual olaraq paylaşmaq bu ekskursiyanı əks etdirmək və gələcək dərslərdə təcrübələrimizi bölüşmək üçün əla yoldur	Sharing any letter tours with virtual is a great way to reflect on that tour and share our experiences in future lessons.
Qrenlandiyada əhali seyrək yerləşib. Norveç dastanlarında deyilir ki, Kürən Erik adam öldürdüyü üçün İslandiyadan sürgün edilərkən qərbə doğru yol alır və burada Qrenlandiyanı kəşf edərək onu belə adlandırır.	 Grinlandiya da əhali seyrək iləşib. Norveç dastanlarında deyilir ki, kürən ərik adam öldürdüyü üçün İslandiyadan sürgün edilərkən qərbə doğru yol alır və burada Grinlandiyanı kəşv edərək onu belə adlandırır.	qrenlandiyada əhali seyrək yerləşib. norveç dastanlarında deyilir ki kürən erik adam öldürdüyü üçün i̇slandiyadan sürgün edilərkən qərbə doğru yol alır və burada qrenlandiyanı kəşf edərək onu belə adlandırır	Greenland is also sparsely populated, and according to Norwegian folklore, the earl, who was exiled from Iceland for murder, traveled westward, where he discovered Greenland and named it so.
Anqel (2006) izah edir ki, Bütöv Mühit yanaşmasından şirkətlərin işini daha yüksək səviyyəyə çatdırmasına kömək edəcək bir metod kimi istifadə olunur.	 Angel kimin altı izah edir ki, bütün mühit yanaşmasından şirkətlərin işini daha yüksə səvviyyə çatdırmasına köməyə edəcə bir metod kim istifad olunur?	anqel 2006 izah edir ki bütöv mühit yanaşmasından şirkətlərin işini daha yüksək səviyyəyə çatdırmasına kömək edəcək bir metod kimi istifadə olunur	Who is it that Angel explains that the whole environmental approach is a method that will help companies to deliver their work at a higher level?
İtalyan dili, əyalətdə işləyənlərin əksəriyyəti tərəfindən gündəlik istifadə olunan dildir, Latın dili isə adətən dini mərasimlərdə istifadə olunur.	 İtalyan dili əyalətdə işləyənlərləki siriyyəti tərəfindən günlərik istifadə olunan dildir. Latın dili isə adətən deyini mərasimlərdə istifadə olunur.	i̇talyan dili əyalətdə işləyənlərin əksəriyyəti tərəfindən gündəlik istifadə olunan dildir latın dili isə adətən dini mərasimlərdə istifadə olunur	Italian is the language used daily by the secret society of the workers in the county, while Latin is usually used in the dictionary ceremonies.
