1.Reference_Cantonese_Text	2.Whisper_ASR_Prediction	3.Reference_English_Target	4.MT_English_Prediction
英國殖民者把這裡據為已有，因此如果想在這片土地上尋找殖民歷史的證據，這裡是個不錯的起點。	英國殖民者把謝律具為己有,因此如果想再借片土地上尋找殖民歷史的證據,謝律師過不錯的起點。	英 國 殖 民 者 把 這 裡 據 為 已 有 因 此 如 果 想 在 這 片 土 地 上 尋 找 殖 民 歷 史 的 證 據 這 裡 是 個 不 錯 的 起 點	The British colonialists took the legal tools to themselves, so if you wanted to borrow land to look for evidence of colonial history, thank you lawyers were a good place to start.
那些地方幾乎都是能讓人安全游泳的沙灘，且大多數都有紐西蘭聖誕樹提供的樹蔭。	那些地方幾乎都是能讓人安全又積極沙灘這大多數都有流西蘭靜淡樹提供的樹蔭	那 些 地 方 幾 乎 都 是 能 讓 人 安 全 游 泳 的 沙 灘 且 大 多 數 都 有 紐 西 蘭 聖 誕 樹 提 供 的 樹 蔭	And there are almost all the places that have safe, active beaches, and most of them have the shrubs that the lush green trees provide.
該委員會是馬德立回應從十月開始的大規模反政權抗議活動而設立的。	該委員會是馬特勒回應從10月開始的大規模反政權抗議活動而設立的	該 委 員 會 是 馬 德 立 回 應 從 十 月 開 始 的 大 規 模 反 政 權 抗 議 活 動 而 設 立 的	The committee was formed by Mattel in response to the massive anti-regime protests that began in October.
福克蘭群島的官方貨幣是福克蘭群島鎊 (FKP)，價值與英鎊 (GBP) 相等。	福克蘭群島的官方貨幣市福克蘭群島榜FKP價值與應亡G,BP相等。	福 克 蘭 群 島 的 官 方 貨 幣 是 福 克 蘭 群 島 鎊 fkp價 值 與 英 鎊 gbp 相 等	The official currency of the Falkland Islands is the FKP, which is equivalent to the G, BP, and the G, BP.
鷹架式教學並非學習方法，而是一種輔助，可為正在經歷新學習體驗（如使用新電腦程式或開始新專案等）的人提供支援。	應假式教學並非學習方法而是一種輔助可為正在經歷新學習體驗如使用新電腦程式或開始新專案等敵人提供支援	鷹 架 式 教 學 並 非 學 習 方 法 而 是 一 種 輔 助 可 為 正 在 經 歷 新 學 習 體 驗 如 使 用 新 電 腦 程 式 或 開 始 新 專 案 等 的 人 提 供 支 援	False teaching is not a learning method, but a tool to help those who are experiencing new learning experiences, like using a new computer program or starting a new project.
合金基本上是兩種或以上的金屬的混合物。別忘了週期表上是有許多元素的。	合金基本上是兩種或以上的金屬運合物別忘了周期表上是有許多元數的	合 金 基 本 上 是 兩 種 或 以 上 的 金 屬 的 混 合 物 別 忘 了 週 期 表 上 是 有 許 多 元 素 的	Alloy is basically two or more metallic compounds, and there are many metals on the cycle table.
這是分別一些動詞和受詞的重要方式。	這次分別一些動詞和受詞的重要方式	這 是 分 別 一 些 動 詞 和 受 詞 的 重 要 方 式	This is a very important way to separate verbs and consonants.
遊客仍須聽取當局建議、遵守所有標示，並密切注意安全警示。	遊客仍須聽取當局建議遵守所有標示並密切注意安全警示	遊 客 仍 須 聽 取 當 局 建 議 、遵 守 所 有 標 示 並 密 切 注 意 安 全 警 示	Visitors still need to listen to the authorities' advice to follow all the signs and pay close attention to security alerts.
有些地區將水燒開一分鐘就夠了，在其他地區則需要數分鐘。	有些地區將水燒開1分鐘就夠了在其他地區則需要數分鐘	有 些 地 區 將 水 燒 開 一 分 鐘 就 夠 了 在 其 他 地 區 則 需 要 數 分 鐘	In some areas, it takes just one minute to heat water, in others, it takes just a few minutes.
傳統上，海軍的任務是確保國家可安穩地轉移人民和貨物，同時干擾敵國轉移人員和貨物的作業。	傳統上,海軍的任務是確保國家和安穩地轉移人民和貨物,同時干擾敵國轉移人員和貨物的作業。	傳 統 上 海 軍 的 任 務 是 確 保 國 家 可 安 穩 地 轉 移 人 民 和 貨 物 同 時 干 擾 敵 國 轉 移 人 員 和 貨 物 的 作 業	Traditionally, the Navy's mission was to ensure the safe and secure movement of people and goods, while disrupting the movement of personnel and goods from enemy countries.
橋下的垂直間距為 15 公尺。工程於 2011 年 8 月完工，但直至 2017 年 3 月才通車。	橋下的垂直間距為15公尺,工程於2011年8月完工,但直至2017年3月才通車。	橋 下 的 垂 直 間 距 為 15 公 尺 工 程 於 2011 年 8 月 完 工 但 直 至 2017 年 3 月 才 通 車	The vertical distance below the bridge is 15 meters, and the project was completed in August 2011, but traffic did not start until March 2017.
牠也會攻擊所有進入水中的任何東西；即使是像霸王龍這樣的巨型恐龍也不是牠的對手。	他也會攻擊所有進入水中的任何東西即使視像霸王龍者一樣的巨型恐龍也不是他的對手	牠 也 會 攻 擊 所 有 進 入 水 中 的 任 何 東 西 ；即 使 是 像 霸 王 龍 這 樣 的 巨 型 恐 龍 也 不 是 牠 的 對 手	He would attack anything that enters the water, even if the giant dinosaur, the Dragon, was not his opponent.
所有名詞以及 Sie （意思為'您'）一詞，即使在句子中間出現，仍然會以大寫字母開頭。	所有名詞以及詩二詩為你一詞即使在句子中間出現仍然會以大寫字母開頭	所 有 名 詞 以 及 sie 意 思 為 '您 '一 詞 即 使 在 句 子 中 間 出 現 仍 然 會 以 大 寫 字 母 開 頭	All nouns and verbs for you, even if they appear in the middle of sentences, start with capital letters.
芬蘭是非常適合划船的地方。有「千湖之國」之稱的芬蘭也坐擁數以千計個湖中島或沿海群島。	芬蘭是非常適合滑船的地方,有千湖之國之稱的芬蘭也作用數2000計這個湖中島或沿海群島	芬 蘭 是 非 常 適 合 划 船 的 地 方 有 「千 湖 之 國 」之 稱 的 芬 蘭 也 坐 擁 數 以 千 計 個 湖 中 島 或 沿 海 群 島	Finland is a great place for skiing, and Finland, known as the country of the thousand lakes, is also a big island in the middle of the lake, or a coastal island.
然而，在整體結核病患者群當中，罹患廣泛抗藥性結核菌者，比率似乎仍非常低；在南非，任何特定時刻中，每 33 萬人有 6 千人受到感染。	然而,在整個結核病患者群中,來患廣泛抗藥性結核群者比率似乎仍非常低。在南非,任何特定時刻中,每33萬人有6000人受到感染。	然 而 在 整 體 結 核 病 患 者 群 當 中 罹 患 廣 泛 抗 藥 性 結 核 菌 者 比 率 似 乎 仍 非 常 低 ；在 南 非 任 何 特 定 時 刻 中 每 33 萬 人 有 6 千 人 受 到 感 染	However, the prevalence of TB in the entire TB population seems to be very low: 6,000 people per 330,000 people in South Africa are infected at any given time.
橋下的垂直間距為 15 公尺。工程於 2011 年 8 月完工，但直至 2017 年 3 月才通車。	橋下的垂直間距為15公尺,工程於2011年8月完工,但直至2017年3月才通車。	橋 下 的 垂 直 間 距 為 15 公 尺 工 程 於 2011 年 8 月 完 工 但 直 至 2017 年 3 月 才 通 車	The vertical distance below the bridge is 15 meters, and the project was completed in August 2011, but traffic did not start until March 2017.
所有人都參與社會活動，使用運輸系統。幾乎每一個人都抱怨運輸系統。	所有人都參與社會活動使用運輸系統幾乎每個人每一個人都抱怨運輸系統	所 有 人 都 參 與 社 會 活 動 使 用 運 輸 系 統 幾 乎 每 一 個 人 都 抱 怨 運 輸 系 統	Almost everyone who is involved in social activities is using the transport system, and almost everyone complains about the transport system.
科學家能斷定暗物質用與一般物質相同的方式影響其他暗物質。	科學加藍斷定暗物質用於一般物質相同的方式影響其他暗物質	科 學 家 能 斷 定 暗 物 質 用 與 一 般 物 質 相 同 的 方 式 影 響 其 他 暗 物 質	Science has shown that dark matter affects other dark matter in the same way that ordinary matter does.
外島地區也許可以使用英美貨幣，但應該無法使用信用卡；請事先詢問商家，以確定可使用哪種付款方式。	外島地區也許可以使用英美貨幣但應該無法使用上紅卡請事先詢問商家確定可使用哪種付款方式	外 島 地 區 也 許 可 以 使 用 英 美 貨 幣 但 應 該 無 法 使 用 信 用 卡 ；請 事 先 詢 問 商 家 以 確 定 可 使 用 哪 種 付 款 方 式	You can use British and American currency in the off-island area, but you shouldn't use a red card.
注意不要讓織物的溫度太高（可能導致縮水，極端情況下也可能燒焦）。	注意不要讓積物的溫度太高可能導致縮水極端情況下也是可能燒焦	注 意 不 要 讓 織 物 的 溫 度 太 高 可 能 導 致 縮 水 極 端 情 況 下 也 可 能 燒 焦	Be careful not to let the temperature of the bulk material be too high, which can cause the water to shrink and burn in extreme cases.
自由派對推動重建的批評，主要在於重建合約犒賞了一般認為的華府圈內人。	自由派對推動重建的批評主要在於重建合約構想要一般認為的華府宣內人	自 由 派 對 推 動 重 建 的 批 評 主 要 在 於 重 建 合 約 犒 賞 了 一 般 認 為 的 華 府 圈 內 人	The criticism of the Liberal Party for rebuilding is mainly about rebuilding the contract structure that the general public wants to see in Washington.
那些地方幾乎都是能讓人安全游泳的沙灘，且大多數都有紐西蘭聖誕樹提供的樹蔭。	那些地方幾乎都是能讓人安全遊泳的沙灘且大多數都有紐西蘭聖誕樹提供的樹蔭	那 些 地 方 幾 乎 都 是 能 讓 人 安 全 游 泳 的 沙 灘 且 大 多 數 都 有 紐 西 蘭 聖 誕 樹 提 供 的 樹 蔭	These are almost beaches that are safe to swim in, and most of them have Christmas trees that are New Zealand Christmas trees.
省長辦公室表示傷患中有十九名是警察。	想像辦公室表示相患中有19名是警察	省 長 辦 公 室 表 示 傷 患 中 有 十 九 名 是 警 察	Imagine the office says that 19 of the victims were police.
船舶（包括遊樂船和有遠端資料與音訊需求的探險船）時常使用這項服務。	船舶包括有駱船和有遠端資料與音訊需求的探險船時嘗試用者看服務	船 舶 包 括 遊 樂 船 和 有 遠 端 資 料 與 音 訊 需 求 的 探 險 船 時 常 使 用 這 項 服 務	Ships include cruise ships and expedition ships that have remote data and audio needs to try to see the users.
多發性硬化症是影響腦部、脊髓和視神經等中樞神經系統的病症。	多發性硬化正視因路部、積水和視神經等中樞神經系統的疾病病症。	多 發 性 硬 化 症 是 影 響 腦 部 、脊 髓 和 視 神 經 等 中 樞 神 經 系 統 的 病 症	Multiple sclerosis is a disease of the central nervous system, including the spinal cord, the spinal cord, and the optic nerve.
睡眠中斷意指刻意在一般的睡眠期間醒來，又在短時間內（10-60 分鐘後）入睡的過程。	睡眠中斷意指刻意在一般的睡眠期間醒來又在短時間內10-60分鐘後入睡的過程	睡 眠 中 斷 意 指 刻 意 在 一 般 的 睡 眠 期 間 醒 來 又 在 短 時 間 內 10-60 分 鐘 後 入 睡 的 過 程	Sleep disruption refers to the intentional awakening during normal sleep and falling asleep within 10 to 60 minutes of a short time.
尚卡羅‧費希切拉無法控制車輛，使得比賽開始後不久就結束了。	上卡羅廢棄切拉無法控制車輛試得比賽開始後不久就結束了	尚 卡 羅 ‧費 希 切 拉 無 法 控 制 車 輛 使 得 比 賽 開 始 後 不 久 就 結 束 了	The race ended shortly after the start of the race, with the Chera being unable to control the car.
他無法服用藥物來抑制疼痛，因為奧運會禁止使用那些藥物。	貪污法復用藥物來抑制疼痛因為奧運會禁止使用那些藥物	他 無 法 服 用 藥 物 來 抑 制 疼 痛 因 為 奧 運 會 禁 止 使 用 那 些 藥 物	Corruption is the re-use of drugs to relieve pain because the Olympics banned them.
我們只能好奇，等到又有新發明出現，鍵盤又將何去何從。	我們只能好奇等到又有新發明出現鍵盤又將何去何從	我 們 只 能 好 奇 等 到 又 有 新 發 明 出 現 鍵 盤 又 將 何 去 何 從	We're just curious to see what comes out of the keypad and what's going on.
雖然在巴黎生活就要表現出最好的一面，這種說法往往只是不正確的刻板印象，不過言行舉止表現出 「bien élevé」（有教養）的樣子，還是比較容易讓你左右逢源。	雖然在巴黎生活就要表現出最好的一面借中說法往往自私不正確的黑板印象不過然行舉次表現出Beyond Elephant有教養的樣子還是比較容易讓你左右逢源	雖 然 在 巴 黎 生 活 就 要 表 現 出 最 好 的 一 面 這 種 說 法 往 往 只 是 不 正 確 的 刻 板 印 象 不 過 言 行 舉 止 表 現 出 「bien élevé」有 教 養 的 樣 子 還 是 比 較 容 易 讓 你 左 右 逢 源	Although the best part of living in Paris is being shown by the often selfishly unfair stereotypes, it's easier to get around the idea that Beyond Elephant is a polite, polite, and well-mannered person.
多數對於科技決定論的詮釋都有兩個主要理念：科技本身的發展途徑遠比文化或政治因素有著更大之影響力，以及科技反過來會「影響」社會固有型態，而非受社會制約。	多數對於科技決定論的全息都有兩個主要理念科技本身的發展途徑遠比文化或政治因素有著這麼大的影響力以及科技反過來會影響社會固有形態而非受社會制約	多 數 對 於 科 技 決 定 論 的 詮 釋 都 有 兩 個 主 要 理 念 ：科 技 本 身 的 發 展 途 徑 遠 比 文 化 或 政 治 因 素 有 著 更 大 之 影 響 力 以 及 科 技 反 過 來 會 「影 響 」社 會 固 有 型 態 而 非 受 社 會 制 約	Most of the emphasis on the decision-making theory of technology is on two main ideas: technology itself has a way of developing that far beyond cultural or political factors, and that technology will, in turn, affect the social form rather than the social constraints.
許多德國的烘焙食品中常含有杏仁、榛果和其他木本堅果。而熱門的蛋糕品項通常特別適合搭配一杯濃厚的咖啡。	許多德國的烘焙食品中常有恆人、津果和其他木本堅果而熱滿的蛋糕品項通常特別配搭一杯濃厚的咖啡	許 多 德 國 的 烘 焙 食 品 中 常 含 有 杏 仁 、榛 果 和 其 他 木 本 堅 果 而 熱 門 的 蛋 糕 品 項 通 常 特 別 適 合 搭 配 一 杯 濃 厚 的 咖 啡	Many German dishes often have hot cakes filled with starch, zinc and other nuts, usually with a cup of coffee.
一顆炸彈在當地行政長官的辦公室外爆炸。	一火炸彈了當地行政長官的辦公室外爆炸	一 顆 炸 彈 在 當 地 行 政 長 官 的 辦 公 室 外 爆 炸	A fire bomb exploded outside the office of the local executive.
在其中 78 個建議，第一個就是應在今年年底前採行新的外交措施，以保護伊拉克的邊境免受敵國侵擾，並重建與其鄰國的外交關係。	其中78個建議第1個就事已經在至今年底前採行新的外交措施以保護醫例下的邊境免受敵國侵擾並重建與其農國的外交關係	在 其 中 78 個 建 議 第 一 個 就 是 應 在 今 年 年 底 前 採 行 新 的 外 交 措 施 以 保 護 伊 拉 克 的 邊 境 免 受 敵 國 侵 擾 並 重 建 與 其 鄰 國 的 外 交 關 係	Of those, 78 suggested that the first should be implemented by the end of this year, and that new diplomatic measures should be taken to protect the border from hostile interference and rebuild diplomatic relations with their respective countries.
根據水下拓樸，回流的海浪會集中於少數較深的區域，並可能在此產生流向深水區的快速水流。	根據水下突破,回流的海浪會集中於少數較深的區域,並可能再次產生流向深水區的發出水流。	根 據 水 下 拓 樸 回 流 的 海 浪 會 集 中 於 少 數 較 深 的 區 域 並 可 能 在 此 產 生 流 向 深 水 區 的 快 速 水 流	Depending on the breakwater, the backflowing waves will concentrate in a few deeper areas and may again produce a flow of water into the deep water area.
1889 年這個港口發生了惡名遠播的海軍僵持事件，當時七艘來自德國、美國、和英國的軍艦都拒絕離港。	1889年借港口發生了惡名遠播的海軍僵持事件當時七首來自德國、美國和英國的軍艦都拒絕說	1889 年 這 個 港 口 發 生 了 惡 名 遠 播 的 海 軍 僵 持 事 件 當 時 七 艘 來 自 德 國 、美 國 、和 英 國 的 軍 艦 都 拒 絕 離 港	In 1889, the infamous naval seizure of the port was a case of notoriety, and seven ships from Germany, the United States, and Britain refused to do so.
人們所知的那 25 份仍存在的當列普單面印刷版是這份文件中留存下來最古老的版本，原始手稿並未留存下來。	人們所知的那二十五份認存在的當年普丹免印刷版事者文件中流傳下來最古老的版本,原始首稿並未流傳下來。	人 們 所 知 的 那 25 份 仍 存 在 的 當 列 普 單 面 印 刷 版 是 這 份 文 件 中 留 存 下 來 最 古 老 的 版 本 原 始 手 稿 並 未 留 存 下 來	The oldest known version of the 25 official documents of the then-Putan Free Press survived, and the original manuscript was not published.
執政黨西南非洲人民組織 (SWAPO) 也在國會選舉中保住了多數黨的地位。	執政黨西南非洲人民組織SWAPO也在國會選舉中保住大多數地位。	執 政 黨 西 南 非 洲 人 民 組 織 swapo 也 在 國 會 選 舉 中 保 住 了 多 數 黨 的 地 位	The ruling South West African People's Party (SWAPO) also retained a majority in the parliamentary elections.
在部隊進駐前，海地自十八世紀以來從未發生過與霍亂有關的問題。	在報也進入前海地至18世紀以來從未發生過與發亂有關的問題。	在 部 隊 進 駐 前 海 地 自 十 八 世 紀 以 來 從 未 發 生 過 與 霍 亂 有 關 的 問 題	The newspapers also spread to the former Haiti, where there had been no riot before the 18th century.
多發性硬化症是影響腦部、脊髓和視神經等中樞神經系統的病症。	多化性硬化症是影響腦部、疾水、和氏、神经等中枢神经系统的病症	多 發 性 硬 化 症 是 影 響 腦 部 、脊 髓 和 視 神 經 等 中 樞 神 經 系 統 的 病 症	Multiple sclerosis is a disease that affects the brain, the spinal cord, the central nervous system, and other things.
大部分現代研究型望遠鏡都是巨大的設施，座落於有大氣條件良好的偏遠地區。	大部份現代研究營望院鏡都是巨大的設施,座落於有大氣條件良好的偏遠地區。	大 部 分 現 代 研 究 型 望 遠 鏡 都 是 巨 大 的 設 施 座 落 於 有 大 氣 條 件 良 好 的 偏 遠 地 區	Most modern research laboratory mirrors are huge facilities, located in remote areas with good atmospheric conditions.
在部隊進駐前，海地自十八世紀以來從未發生過與霍亂有關的問題。	在部隊進駐前,海地至18世紀以來從未發生過如霍亂有關的問題。	在 部 隊 進 駐 前 海 地 自 十 八 世 紀 以 來 從 未 發 生 過 與 霍 亂 有 關 的 問 題	Before the troops arrived, there had never been a cholera-related problem in Haiti since the 18th century.
在歐洲歷史的這段時期，已變得富有且強大的天主教教會受到了嚴格的審視。	在歐洲歷史的這段時期已變得富有且強大的天主教教會受到嚴格的審視	在 歐 洲 歷 史 的 這 段 時 期 已 變 得 富 有 且 強 大 的 天 主 教 教 會 受 到 了 嚴 格 的 審 視	During this period of European history, when the Catholic Church became rich and powerful, it was under intense scrutiny.
一顆炸彈在當地行政長官的辦公室外爆炸。	一火炸彈在當地行政長官的辦公室外爆炸	一 顆 炸 彈 在 當 地 行 政 長 官 的 辦 公 室 外 爆 炸	A fire bomb exploded outside the office of the local executive.
他們靠著有紀律的防守、控球技巧與絕佳的團隊默契脫穎而出，顯然是不好對付的強隊。	他不靠著有幾多防守,控球技巧要駐加尼團隊默契脫穎而出,顯然是不可對付的強隊。	他 們 靠 著 有 紀 律 的 防 守 、控 球 技 巧 與 絕 佳 的 團 隊 默 契 脫 穎 而 出 顯 然 是 不 好 對 付 的 強 隊	He was not a defensive or control player to make a name for himself in the team, but he was clearly a formidable force.
但鳥類與恐龍仍有許多相似之處。	彈鳥類與恐龍仍有許多相似之處	但 鳥 類 與 恐 龍 仍 有 許 多 相 似 之 處	There are still many similarities between the birds and the dinosaurs.
許多義大利城市和世界上其他地方也有類似的陳設，尤其是波蘭，並有為數眾多的人潮前來觀禮。	很多意大利城市和世界上其他地方也有類似的層次,尤其是波蘭,並有為數眾多的人潮前來觀禮。	許 多 義 大 利 城 市 和 世 界 上 其 他 地 方 也 有 類 似 的 陳 設 尤 其 是 波 蘭 並 有 為 數 眾 多 的 人 潮 前 來 觀 禮	Many Italian cities and other parts of the world have similar levels, especially in Poland, and there are large crowds of people coming to worship.
合金基本上是兩種或以上的金屬的混合物。別忘了週期表上是有許多元素的。	合金基本上是兩種或以上的金屬的混合物別忘了周期表上是有許多元素的	合 金 基 本 上 是 兩 種 或 以 上 的 金 屬 的 混 合 物 別 忘 了 週 期 表 上 是 有 許 多 元 素 的	Alloy is basically a mixture of two or more metals, and there are many elements on the cycle table.
馬德立昨日在由九名委員組成的臨時選舉委員會 (CEP) 中宣誓。	馬德納作日再由九名委員組成的臨時選舉委員會CEP中宣誓	馬 德 立 昨 日 在 由 九 名 委 員 組 成 的 臨 時 選 舉 委 員 會 cep 中 宣 誓	Moderna was sworn in as a member of the nine-member provisional election committee, the CEP.
如果你曾看過電影《國家寶藏》，你可能會以為《美國獨立宣言》的背面畫有一張藏寶圖。	如果你曾看過電影國家寶藏你可能會以為美國獨立宣言的背面或有一張藏寶圖	如 果 你 曾 看 過 電 影 《國 家 寶 藏 》你 可 能 會 以 為 《美 國 獨 立 宣 言 》的 背 面 畫 有 一 張 藏 寶 圖	If you've ever seen the National Treasure in a movie, you might think that there's a treasure on the back of the Declaration of Independence or a picture of it.
據報導，他當時的年紀是 20 多歲。 在一份聲明中，小賈斯汀說：「雖然我當時不在現場，這起悲劇事件與我也沒有直接的牽涉，但我非常關心受害者的家屬，並為他們祈禱。」	據報導,他當時的年紀是二十多歲,在一份聲明中,少駕駛丁雪。雖然我當時不在現場,者氣悲劇事件與我也沒有直接的牽涉,但我非常關心受害者的家屬,並為他們祈禱。	據 報 導 他 當 時 的 年 紀 是 20 多 歲 在 一 份 聲 明 中 小 賈 斯 汀 說 ：「雖 然 我 當 時 不 在 現 場 這 起 悲 劇 事 件 與 我 也 沒 有 直 接 的 牽 涉 但 我 非 常 關 心 受 害 者 的 家 屬 並 為 他 們 祈 禱 」	He was reportedly in his early 20s and in a statement, there was little driver snow. Although I was not present at the time and I was not directly involved in the weather tragedy, I feel deeply concerned about the families of the victims and pray for them.
羅蘭多‧蒙多薩以 M16 步槍向遊客射擊。	羅蘭多,蒙多撒爾M16步槍向遊客射擊	羅 蘭 多 ‧蒙 多 薩 以 m16 步 槍 向 遊 客 射 擊	Roland, Monsarro M16 shot at tourists.
意外發生後，吉布森被送往醫院，但不久後便身亡。	以後發生後,吉布心被送往醫院打不久後,死亡。	意 外 發 生 後 吉 布 森 被 送 往 醫 院 但 不 久 後 便 身 亡	After the incident, Gibb was taken to the hospital and died shortly afterwards.
植物製造人類吸入的氧氣，並吸收人類呼出的二氧化碳。	即物製造人類入的氧氣並吸收人類呼出的異樣化碳	植 物 製 造 人 類 吸 入 的 氧 氣 並 吸 收 人 類 呼 出 的 二 氧 化 碳	It produces oxygen that humans inhale and absorbs the carbon dioxide that humans exhale.
中間棒次擊球手薩辛・坦都卡和拉胡爾・德拉維德表現出色，攜手合作之下得分來到了100分。	中間棒次即球手殺身彈起卡和拉胡爾得拉圍得表現出色,球手合作之下得分來到100分	中 間 棒 次 擊 球 手 薩 辛 ・坦 都 卡 和 拉 胡 爾 ・德 拉 維 德 表 現 出 色 攜 手 合 作 之 下 得 分 來 到 了 100分	The midfielder was a dead-and-away player, and Raúl D'Arta was a great player, and he scored 100 points in a team effort.
利金斯 (Liggins) 爵士於醫院任職時，就會利用下班後的時間研究早產現象。	利金斯·利根斯在涉及醫院任職時會利用下班學的時間研究組產現象	利 金 斯 liggins 爵 士 於 醫 院 任 職 時 就 會 利 用 下 班 後 的 時 間 研 究 早 產 現 象	Lickens Legens uses the time he spends off work to study the phenomenon of synthesis when he is involved in hospital work.
校外教學是學校教育重要的一環。很多時候，老師會想帶學生去公車到不了的地方。	考外教學士、學校教育中有的一環,很多時候老師會想帶學生去公車道不了的地方。	校 外 教 學 是 學 校 教 育 重 要 的 一 環 很 多 時 候 老 師 會 想 帶 學 生 去 公 車 到 不 了 的 地 方	And it's a part of the teaching process, and it's part of the school education process, and sometimes teachers want to take students to the bus station where they can't.
