1.Reference_Arabic_Audio	2.Whisper_ASR_Prediction	3.Reference_English_Target	4.MT_English_Prediction
في حال كنت تعبر منطقة بحر البلطيق الشمالية في الشتاء، فيجب أن تفحص موقع الكابينة، إذ أن المرور عبر الجليد يسبب ضوضاء صاخبة للغاية للأشخاص الأكثر تضرراً.	في حال كنت تعبر منطقة بحر البلتيق الشمالية في الشتاء، فيجب أن تفحص موقع الكبينة، إذ أن المرور عبر الجليد يسبب ضوضاء صاخبة للغاية للأشخاص الأكثر تضررًا.	If crossing the Northern Baltic in winter, check the cabin location, as going through ice causes quite horrible noise for those most affected.	If you cross the North Baltiak Sea area in winter, you must examine the location of the cabin, as ice passage causes extreme noise to the most affected.
أُرسل القمر الصناعي إلى الفضاء بواسطة صاروخ. يستخدم العلماء التلسكوبات في الفضاء لأن الغلاف الجوي لكوكب الأرض يشوه بعض الضوء والرؤية.	أُرسل القامر الصناعي إلى الفضائي بواسطة صاروخ. يستخدم العلماء التليسكوبات في الفضائي لأن الغلاف الجوي لكوكب الأرض يشوه بعض الضوء والرؤية.	The satellite was sent into space by a rocket. Scientists use telescopes in space because the Earth’s atmosphere distorts some of our light and view.	Satellite gambling was sent to space by a rocket, using telescopes in space because the Earth's atmosphere distorts some light and vision.
"بصفة عامة، يمكن أن يظهر سلوكان عندما يبدأ المديرون في قيادة أقرانهم السابقين أحدهما هو محاولة البقاء ""مثل الآخرين"" (أو الأخريات)."	بصفة عام، يمكن أن يظهر سلوكان عندما يبدأ المديرون في قيادة أقرانهم السابقين، أحدهم هو محاولة البقاء مثل الآخرين أو الأخريات.	Generally speaking, two behaviors can emerge as managers begin to lead their former peers. One end of the spectrum is trying to remain “one of the guys” (or gals).	Generally speaking, two behaviors can emerge when managers start to lead their former peers, one of them is trying to stay like others or others.
يتصاعد من المصنع دخاناً أبيض، وهذا ما أظهرته تقارير تلفزيونية.	يتسعد من المصنع دخاناً أبيض، وهذا ما أزهرته تقارير تلفزيونية.	Television reports show white smoke coming from the plant.	White smoke from the factory, and that's what TV reports are all about.
يمكنك أن تسمع صوت السيّاح والبائعين هنا دائماً عادةً. فقصة الصوت والضوء تشبه قصة كتابٍ.	يمكنك أن تسمع صوت السياح والبائعين هنا دائماً عادةً. فقصة الصوت والدوق تشبه قصة كتاب.	Usually you always here the sound of tourists and vendors. The story of the sound and light is just like a story book.	You can always hear tourists and salesmen here. The sound story and the duke are like a book story.
"لكن بسبب موقعها ""القريب من المناطق الاستوائية"" ببضع درجات فقط شمال الخط الاستوائي، فأنتم بحاجة للتعامل مع كلاهما: الحرارة العالية المستمرة والشمس اللافحة (وذلك نادراً عندما تكون السماء صافية)."	لكن بسبب موقعها القريب من المناطق الاستوائية ببضع درجات فقط شمال الخط الاستوائي، فإن تم بحجل التعامل معك لهم الحرارة العالية المستمرة والشمس اللافحة، وذلك نادراً عندما تكون السماء صافية.	"But being placed in the ""high tropics"" just a few degrees north of equator you will need to deal with both heat (always) and strong sun (when the sky is clear, more rarely)."	But because of its location close to the tropics in just a few degrees north of the tropic line, if you're dealing with them with the constant high temperature and the luminous sun, that's rarely when the sky is clear.
افترض الفيلسوف أرسطو أن كل شيء يتكون من مزيج من عنصر أو أكثر من أربعة عناصر هي الأرض والماء والهواء والنار.	استرد الفيلسوف آروستو أن كل شيء يتكون من مزيج من عنصر أو أكثر من أربعة عناصر هي الأرض، والماء، والهواء، والنار.	Aristotle, a philosopher, theorised that everything is made up of a mixture of one or more of four elements. They were earth, water, air, and fire.	The philosopher Ernesto recovered that everything consisted of a combination of one or more of four elements: land, water, air, and fire.
أدى مارتيلي أمس القسم في مجلس انتخابي مؤقت جديد مكون من تسعة أعضاء.	أدى مارتلي أمس القسم في مجلس انتخابي مؤقت جديد مكوّن من تسعة أعضاء.	Martelly swore in a new Provisional Electoral Council (CEP) of nine members yesterday.	Yesterday, Martelly was sworn into a new nine-member Provisional Electoral Council.
جرت التقاليد على أن وظيفة القوّات البحريّة هي ضمان قدرة بلدك على نقل شعبك وبضائعه، بينما في الوقت نفسه، اعتراض قدرة عدوّك على نقل شعبه وبضائعه.	جرت التقاريد على أن وظيفة القوات البحرية هي ضمان قدرة بارت على نقل شعبه بضائحه، بينما في الوقت نفسه اعتراد قدرة عدوّة على نقل شعبه بضائحه.	The job of navies has traditionally been to ensure that your country maintains the ability to move your people and goods, while at the same time, interfering with your enemy's ability to move his people and goods.	It has been reported that the function of the Navy is to ensure that Bart is able to move his people with his sacrifices, while at the same time the ability of an enemy to move his people with his own sacrifices has been used.
لا تشوه الموقع بوضع علامات أو الكتابات الخادشة على الجدران في المباني.	لا تشوي الموقع بوضع علامات أو الكتابات الخادشة على الجدران في المباني.	Do not deface the site by marking or scratching graffiti into structures.	Do not roast the site by placing scratching marks or writing on the walls in the buildings.
السبائك هي بشكل أساسي خليط من اثنين أو أكثر من المعادن. لا تنسَ أن هناك العديد من العناصر في الجدول الدوري.	السبائق هي بشكل أساسي خليط من إثنين أو أكثر من المعادل. لا تنس أن هناك العديد من العناصر في الجدول الدورية.	Alloys are basically a mixture of two or more metals. Don't forget that there are many elements on the periodic table.	The race is essentially a mixture of two or more equations. Don't forget that there are many elements in the periodic table.
سَيسْمح ذلك للاعبين بالتحكم في الأفعال والحركات في ألعاب الفيديو عن طريق التلويح بالجهاز في الهواء.	سيسمح ذلك للعبين بالتحكم في الأفعال والحرقات في الألعاب الفيديو عن طريق التلويح بالجهاز في الهواء.	This will allow players to control actions and movements in video games by moving the device through the air.	This will allow the player to control actions and burns in video games by waving the device into the air.
نصنع بيوتنا وملابسنا من النباتات . معظم الطعام الذي نتناوله من النباتات كذلك. بدون النباتات، لا يمكن للحيوانات البقاء.	نصنع بيوتنا وملابسنا من النباتات. معظم الطعام الذين تناوله من النباتات كذلك. بدون النباتات، لا يمكن للحيوانات البقاء.	We make our houses from plants and make clothes from plants. Most foods that we eat are plants. Without plants, animals could not survive.	We make our homes and clothes from plants. Most of the food I eat from plants as well. Without plants, animals can't survive.
إذا أردت أن تقترب من الأحداث، فيجب عليك أن تدخل باكراً وذلك للحصول على موقع تخييم قريب من الموسيقى.	إذا أردت أن تقترب من الأحداث، فيجب عليك أن تدخل باكرًا وذلك للحصول على موقع تخييم قريب من الموسيقى.	If you want to be close to the action you're going to have to get in early to get a camping site close to the music.	If you want to get close to the events, you need to get in early to get a camping site close to the music.
الشوكولاتة الساخنة متوافقة مع المعايير البلجيكية. عصائر الفاكهة ممتازة على الرغم من أنها باهظة الثمن.	الشكولات الساخنة متوافقة مع المعايير البلجيكية عصائر الفاكهة ممتازة، على الرغم من أنها باهظة الثمن.	The hot chocolate is up to Belgian standards. Fruit juices are pricey but excellent.	Hot chocolate conforms to Belgian standards... excellent fruit juices, though expensive.
للأسف، دراسة حركة السير صعبة لأنه لا يمكن توقع سلوك السائق بيقين مائة في المئة.	للأسف، دراسة حركة السيرة صعبة لأنه لا يمكن توقع سلوك السائق بيقياً مائة في المائة.	Unfortunately, studying traffic flow is difficult because driver behavior cannot be predicted with one-hundred percent certainty.	Unfortunately, the traffic study is difficult because the driver's behavior cannot be expected to remain a hundred per cent.
لم يصدر تحذير عن تسونامي، ووفقا لوكالة جاكرتا للجيوفيزياء، لن يصدر تحذير عن تسونامي لأن الزلزال لم يستوف متطلبات 6.5 درجة.	لم يصدر تحذير عن تسونامي، ووفقاً ليوكالة جاكارتا للجيو فيزياء، لن يصدر تحذير عن تسونامي، لأن الزلزال لم يستوف متطلبات 6.5 درجة.	No tsunami warning has been issued, and according to the Jakarta geophysics agency, no tsunami warning will be issued because the quake did not meet the magnitude 6.5 requirement.	No tsunami warning has been issued, and according to the Jakarta Geophysics Agency, no tsunami warning will be issued, because the earthquake did not meet 6.5 degree requirements.
بالنسبة لمنتخب جنوب أفريقيا للرغبي، أنهى هذا سلسلة هزائم استمرّت لخمس مباريات.	بالنسبة لمنتخب جنوب أفريقيا للرغبي، أمها هذا سلسلة هذام استمرت لخمس مباريات.	For the Springboks, it ended a five-match losing streak.	For South Africa's desire vote, her mother has this series that lasted for five games.
فكر في مسار التزلج على الجليد باعتباره مسارًا مماثل للمشي لمسافات طويلة.	أكر في مسارة تزلج على الجليد باتباره مسارة مماثل للمشي لمسافات طويلة.	Think of the skiing route as of a similar hiking route.	I hate to skate on ice with a path similar to long walks.
التدوين هو أداة تلهم التعاون وتشجع الطلاب على توسيع نطاق التعلم إلى ما بعد اليوم الدراسي التقليدي.	التدوين هو آداتهم التعاون وتشجع الطلاب على توسيع نطاق التعلم إلى ما بعد اليوم الدراسي التقليدي.	Blogging is a tool that inspires collaboration, and encourages students to extend learning well beyond the traditional school day.	Codification is their tool of cooperation and encourages students to expand learning beyond the traditional school day.
الأسود هي أكثر القطط اجتماعية وتعيش في مجموعات كبيرة تدعى قطعاناً.	الأسود هي أكثر القطة اجتماعي وتعيش في مجموعات كبيرة تدعى قطعاناً.	Lions are the most social cats, living in large groups called prides.	Black is the most social cat and lives in large groups called slices.
بينما انحدرت المعرفة لدى اليونانيين، وجد الغرب نفسه معزولاً عن جذوره الفلسفية والعلمية اليونانية.	بينما حضرت المعرفة لدى اليونانيين، وجد الغرب نفسه معزولاً عن جزوره الفالسافية والعلمية اليونانية.	As knowledge of Greek declined, the West found itself cut off from its Greek philosophical and scientific roots.	While I attended Greek knowledge, the West found itself isolated from its philosophical and scientific Greek islands.
تعد الدار البيضاء من الأماكن الأقل إثارة للتسوق في كل أنحاء المغرب.	تعد الضر البيضاء من الأماكن الأقل إثاراً للتسوق في كل أنحاء المغربة.	Casablanca is one of the least interesting places to shop in all of Morocco.	White damage is one of the less dramatic places to shop all over the Maghreb.
يشتهر أهل باريس بالأنانية والوقاحة والغطرسة.	يشتهر أهل باريس بالأنانية، والواقاح، والغطرسة.	Parisians have a reputation for being egocentric, rude and arrogant.	The people of Paris are famous for their egoism, impertinence and arrogance.
التعلم التفاعلي ليس طريقة للتعلم ولكنها بالأحرى وسيلة مساعدة تقدم الدعم للأفراد الذين يمرون بتجربة تعليمية جديدة مثل استخدام برنامج كمبيوتر جديد أو بدء مشروع جديد.	التعلم التفاعلي ليس طريقة للتعلم، ولكنها بالأحرة وسيلة مساعدة تقدم الدعم للأفراد الذين يمرون بتجربة تعليمية جديدة، مثل استخدام برنامج كمبيوتر جديد أو بدء مشروع جديد.	Scaffolding is not a method of learning but rather an aid that provides support to individuals whom are undergoing a new learning experience such as using a new computer program or beginning a new project.	Interactive learning is not a way to learn, but it is a means of helping individuals who are experiencing a new learning experience, such as using a new computer program or starting a new project.
يمكن فقط نقل الطفرات في خلايا الخط الجرثومي إلى الأطفال، بينما يمكن أن تسبب الطفرات في أماكن أخرى موت الخلايا أو السرطان.	يمكن فقط نقل الطفارات في خلال الخط الجرسومي إلى الأطفال، بينما يمكن أن تسبب الطفارات في أماكن أخرى، موت الخلايا أو السرطاء.	Only mutations in germ-line cells can be passed on to children, while mutations elsewhere can cause cell-death or cancer.	Jumpers can only be transported through the grammatical line to the children, while mutations elsewhere can cause cell death or burglary.
اتبعت المستشفى بروتوكول مكافحة العدوى، بما في ذلك فصل المريض عن الآخرين لمنع انتقال العدوى المحتملة للآخرين.	اتبعت المستشفى بروتوكهل مكافحة العدوى بما في ذلك فصل المريض عن الآخرين لمن انتقال العدوى المحتمل للآخرين.	The hospital has followed protocol for infection control, including separating the patient from others to prevent possible infection of others.	The hospital followed the control of infection, including the separation of the patient from others from the potential transmission of infection to others.
ومن ثمّ، كان القلم الرصاص صديقاً جيداً لكثير من الناس عندما ظهر.	ومنسمه، كان القلم الرصاص صديقاً جيداً لكثير من الناس عندما ظهر.	Thus, the pencil was a good friend to many people when it came out.	And by name, the pencil was a good friend to a lot of people when he showed up.
"كان يحكم فرنسا ""فيشي"". هؤلاء هم الشعب الفرنسي الذين صنعوا السلام مع الألمان في عام 1940 وعملوا مع الغزاة بدلاً من محاربتهم."	كان يحكم فرنسا فيشي. هؤلاء هم الشعب الفرنسي الذين صنعوا السلام مع الألمان في عام 1940 وعملوا مع الغزاه بدلاً من محربتهم.	"It was ruled by the ""Vichy"" French. These were French people who had made peace with the Germans in 1940 and worked with the invaders instead of fighting them."	These are the French people who made peace with the Germans in 1940 and worked with the invaders instead of their warlord.
تصنع النباتات طعامها من الشمس من خلال التمثيل الضوئي. كما يوفرون الظل.	تصنع النباتات طعامها من الشمس من خلال التنفيل الضوئي كما يوفيرون الظل.	Plants make their food from the sun by photosynthesis. They also provide shade.	Plants make their food out of the sun by lighting out, as they provide the shadow.
أوضحت أبحاث القرن العشرين وجود مجموعتين من التنوعات الچينية:- مجموعة مستترة وأخرى ظاهرة.	أوضحت أبحاث قرن العشرين وجود مجموعة من التنوعات الجينية، مجموعة مستترة وأخرى ظاهرة.	Twentieth century research has shown that there are two pools of genetic variation: hidden and expressed.	20th century research has shown that there is a variety of genetic diversity, a hidden and a visible combination.
شهرتها بكونها مركز الفخامة بدأت في عام 400 بعد الميلاد واستمرت حتى عام 1100 بعد الميلاد.	شهرتها بكونها مركز الفخامة، بدأت فعمه بعمية بعد الميلاد، واستمعت حتى عام 1,000 بعد الميلاد.	Its renown for being an epicenter of luxury began in about 400 A.D. and lasted up until about 1100 A.D.	She was famous for being the center of the majesty, and she started blind after Christmas, and she listened until 1,000 A.C.
يوجد رسوم يومية للحفاظ على المنتزه والدخول إليه،أسوة بجميع المتنزهات الوطنية في جنوب إفريقيا.	قد رسوم يومية للحفاظ على المنتزه والدخول إليه أسوةً بجميع المنتزهات الوطنية في جنوب إفريقيا.	As with all South African National Parks, there are daily conservation and entry fees for the park.	Have a daily fee to keep the park and get into it like all the national parks in South Africa.
لمدينة برشلونة لغتين رسميتين هما الكتالونية والإسبانية. يُفضل حوالي نصف السكان التحدث بالكتالونية، ويفهمها الغالبية العظمى، ويعرف الجميع تقريبًا الإسبانية.	لمدينة بارشلونا لغتان رسميتين هما كتالونية والأسبانية، يفضل حوالي نصف السكان التحدث بالكتالونية ويفهمها الغالبية العظمى، ويعرف الجميع تقريباً للأسبانية.	Barcelona's official languages are Catalan and Spanish. About a half prefer to speak Catalan, a vast majority understands it, and virtually everyone knows Spanish.	The city of Barcelona has two official languages, Catalan and Spanish, about half of the population prefers to speak Catalan and the vast majority understands it, and almost everyone knows Spanish.
لا يفكر العديد فيها باعتبارها ديناصورات لأن لديها ريشًا ويمكنها الطيران.	لا يفكر العديد فيها باعتبارها دين الصورات، لأن لديها ريشاً ويمكنها الطيران.	Many people don't think about them as dinosaurs because they have feathers and can fly.	Not many think of it as the religion of images, because they have a feather and they can fly.
إن الرياح الشديدة والبَرَد والتهطال المفرط والحرائق البرية هي أشكال وآثار الطقس الشديد، وكذلك العواصف الرعدية والأعاصير والفيضانات والأعاصير الحلزونية.	إن راح الشديد والبرد والطهات والمفّد والحرائق البريّة هي أشكال وأسار التقسي الشديد، وكذلك العواصف الرعادية والأعاصير والفيضانات والأعاصير الحذوناية.	High winds, hail, excessive precipitation, and wildfires are forms and effects of severe weather, as are thunderstorms, tornadoes, waterspouts, and cyclones.	The extreme rest, the cold, the chefs, the fire and the wild fires are extremely harsh forms and walls, as well as thunderstorms, hurricanes, floods and other hurricanes.
وأخيراً، يوجد العديد من القطط الصغيرة (بما فيهم القطط الأليفة السائبة) تأكل الفرائس الصغيرة الأكثر عدداً كالحشرات والقوارض والسحالي والطيور.	وأخيراً، يُجد العديد من القطة الصغيرة، بما فيه القطة الأليفة السائبة. تأكل الفرائس الصغيرة الأكثر عدداً، كالحشرات، والقوارد، والسحالي، والطيور.	Finally, there are many small cats (including loose pet cats) that eat the far more numerous small prey like insects, rodents, lizards, and birds.	And finally, there's a lot of kittens, including the loose pet cat, eating the most numerous little prey, such as insects, pots, lizards, and birds.
لقد جعل دفاع الفريق المنضبط ومهاراته في التعامل مع الكرة وعمله الجماعيُّ الممتاز، فريق متميز وكان من الواضح أن هذا هو الفريق الذي يجب التغلب عليه.	لقد جعلها دفعًا الفريق المنطبط ومهارته في التعامل مع الكرة، وعمله الجماعي الممتاز، فريق متميز، وكان من العاضح أن هذا هو الفريق الذي يجب التغلّب علي.	Their disciplined defence, ball handling skills and excellent team work made them stand out and it was clear that this was the team to beat.	He made it a push-up team, his skill in dealing with the ball, his excellent team work, an outstanding team, and it was clear that this was the team that should be overcome.
عند استغلال جميع الموارد المتاحة بشكل فعال عبر الإدارات الوظيفية في المنظمة، يمكن أن يتحقق الإبداع والبراعة.	عند استغلال جميع الموارد المتحب بشكل فعال عبر الإدارات الوظيفية في المنظمة، يمكن أن يدحقق الإبداع والبروع.	When all available resources are effectively used across the functional departments of an organization, creativity and ingenuity can transpire.	When effectively exploiting all of the resources that are loved across the functional departments of the Organization, it can create creativity and creativity.
المسافة الرأسية الخالية تحت الجسر ١٥ متراً. اكتمل البناء في آب ٢٠١١، ولم يُفْتَحْ أمام حركة المرور حتى آذار ٢٠١٧.	المسافة الرأسية الخالية تحت جسر 15 متراً اكتمل البناء في آب 2011، ولم يفتح أمام حركة المرور حتى آذار 2017.	The vertical clearance under the bridge is 15 meters. Construction was completed in August 2011, it didn't open to traffic until March 2017.	The vertical distance of the 15 metre bridge was completed in August 2011 and was not open to traffic until March 2017.
سطح القمر يتكون من الصخور والغبار. تُسمى الطبقة الخارجية للقمر القشرة.	سطح القمر، يتكون من الصخور الغبار، تسمى الطبقة الخارجية لقمر القشرة.	The surface of the Moon is made of rocks and dust. The outer layer of the Moon is called the crust.	The surface of the moon, made up of dust rocks, is called the outer layer of the crust moon.
يجب على كل من يقود سيارته على ارتفاعات عالية أو فوق الممرّات الجبليّة أن يأخذ بعين الاعتبار إمكانيّة تساقط الثّلوج أو الجليد أو درجات الحرارة تحت الصّفر.	يجب على كل من يقود سيارته على ارتفاعات عالية أو فوق الممارات الجبلية أن يأخذ بعين الاعتبار أمكانية تساقط السلوج أو الجليد أو درجات الحرارة تحت السفر.	Anyone who's going to drive at high latitudes or over mountain passes should consider the possibility of snow, ice, or freezing temperatures.	Anyone who drives at high altitudes or above mountain paths must take into account the possibility of slugs, ice or temperatures falling under travel.
إذا لم تكن معتاداً على القيادة على الطرق الريفية، فكن حذراً: يوجد دائماً منحدرات حادة وممرات ضيقة ومنحنيات حادة.	إذا أمتقم معتاداً على القيادة على طرق ريفية، فكن حذاً. يوجد إما المنحدرات حدّة، ممارضة يقر، منحنيات حدّة.	If you're not used to driving on country roads, keep your wits about you: steep grades, narrow lanes, and sharp curves predominate.	If I'm a veteran who's used to driving on rural roads, be sharp. There's either cliffs, a pathogen, or a curves.
خضعت الكنيسة الكاثوليكية، التي أصبحت غنية وقوية، للتدقيق خلال هذه الفترة من التاريخ الأوروبي.	خضعت الكنيثة الكاثوليكية، التي أصبحت غنية وقوية للتطقيق خلال هذه الفترة من التاريخ الأوروبية.	During this period of European history, the Catholic Church, which had become rich and powerful, came under scrutiny.	The Catholic Church, which has become rich and powerful, has been subjected to scrutiny during this period of European history.
"يُعد ""الخبز بزيت الزيتون"" من أمثلة العشاء الشعبي البسيط، خاصة أثناء فصل الصيف: خبز بزيت الزيتون والطماطم وأي توابل متوفرة مثل: الجبن، وسمك التونة، وما إلى ذلك."	يُعد الخبز بزاية الزاتون من أمسية العشاء الشعبية البسيط، خاصةً أثناء فصل الصيف، خبز بزاية الزاتون والطماطم، وأي تواب المتوفرة، مثل الجبن والسمقتون، ومع إلى ذلك.	A simple popular dinner, especially during the summer, is the Pa amb Oli: Bread with olive oil, tomato, and any available condiments such as cheese, tunafish, etc.	The bread is made in the zatun corner of the evening of simple folk dinner, especially during the summer, bread in the zatun and tomatoes, and any available coffin, such as cheese and cheese, etc.
تم عمل الإعلان بعد أن قام ترامب بمحادثة هاتفية مع الرئيس التركي رجب الطيب أردوغان.	تم عمل الإعلان بعد أن قام ترانب محادثة هاتفية مع الرئيس التركي رجب الطيب أردوغان.	The announcement was made after Trump had a phone conversation with Turkish President Recep Tayyip Erdoğan.	The announcement was made following a telephone conversation with Turkish President Recep Tayyip Erdoğan.
"في 15 آب 1940، غزا الحلفاء جنوب فرنسا، وسُمِّيَ الغَزْوُ بـ""عملية دراغون""."	تخم 15 آب 1940 غاز الحلفاء جنوب فرنسا، وسماء الغاز وبعملية دراغون.	"On 15 August 1940, the Allies invaded southern France, the invasion was called ""Operation Dragoon""."	Allied gas in the south of France, the gas skies and Operation Dragon.
كانت اللجنة بمنزلة رد مارتيلي على الاحتجاجات واسعة النطاق المناهضة للنظام التي بدأت في تشرين الأول.	كانت اللجنة بمنزلة راد مرتيلي على الاحتجاجات وسعة النطاق المنهضة للنظام التي بدأت في تشرين الأول.	The commission was Martelly's response to widespread anti-regime protests that started in October.	The Commission was in the position of Rad Martelli on the protests and the vast rise in the regime that began in October.
وقد أخمدت فرق الإنقاذ النار في نهاية المطاف بحلول الساعة 11:35 مساء.	قد أخمدت فرق الإنقاذ النار في نهاية المطاف بحلول الساعة 11.35، مساءً.	Fire rescue crews eventually doused the fire by 11:35 pm.	Rescue teams eventually put out the fire by 11.35 p.m.
كما يمكن للمدونات المساعدة في تحسين كتابة الطلاب. في حين يبدأ الطلاب في الأغلب تجربتهم في المدونات بقواعد نحوية وإملائية غير متقنة، فإن وجود جمهور يغير ذلك بشكل عام.	كما يمكن للمدونات المساعدة في تحسين كتابة الطلاب في حين يبدأ الطلاب في الأغلب تجريبتهم في المدونات بقواعد نحوية وإملاعية غير متقنى، فإن وجود جمهور يغير ذلك بشكل عام.	Blogs can also help improve student writing. While students often begin their blog experience with sloppy grammar and spelling, the presence of an audience generally changes that.	The blogs can also help to improve student writing, while students often start experimenting in blogs with unskilled grammatical and adrenaline rules, with an audience generally changing this.
لم يترك دوفال، المتزوج وله ولدان بالغان، انطباعًا مؤثرًا في ميلر التي كانت محور القصة.	لم يترك دوفال المتزوج وله ولدان بالغان انطباً مؤثرًا في ميلر التي كانت محور القصة.	Duvall, who is married with two adult children, did not leave a big impression on Miller, to whom the story was related.	Duval didn't leave the married couple with two grown-up boys touching Miller, who was at the heart of the story.
